iter	Passed	Remaining
0	0	84
1	1	72
2	2	68
3	2	62
4	3	61
5	3	60
6	4	58
7	5	58
8	5	57
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	52
16	10	51
17	11	51
18	11	50
19	12	51
20	13	50
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	39
38	24	39
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	21
62	36	21
63	37	20
64	37	20
65	38	19
66	39	19
67	40	19
68	41	18
69	42	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	55	8
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	63	1
98	63	0
99	64	0
